Date,Obs_Hrs,Sharp_Shinned_Hawk,Cooper_Hawk,Golden_Eagle
8/27/2019,8,2,1,0
8/28/2019,8,1,2,2
8/29/2019,8,1,2,1
8/30/2019,8,0,0,3
8/31/2019,8,2,8,0
9/1/2019,8,3,3,0
9/2/2019,6.75,3,5,0
9/3/2019,7.25,5,8,3
9/4/2019,6.25,1,2,0
9/5/2019,8,5,5,2
9/6/2019,4.5,2,3,0
9/7/2019,1,0,0,0
9/8/2019,6,0,0,0
9/9/2019,1,0,0,0
9/10/2019,3,0,0,0
9/11/2019,0,0,0,0
9/12/2019,5.25,3,5,2
9/13/2019,8.5,12,14,8
9/14/2019,8,11,21,4
9/15/2019,8,29,28,10
9/16/2019,8,31,22,6
9/17/2019,2.75,0,2,0
9/18/2019,8.5,47,73,15
9/19/2019,8,3,11,6
9/20/2019,0,0,0,0
9/21/2019,0,0,0,0
9/22/2019,8.5,56,41,27
9/23/2019,8,37,17,21
9/24/2019,8,20,3,8
9/25/2019,8,2,10,12
9/26/2019,7.5,0,1,4
9/27/2019,4.5,2,1,3
9/28/2019,0,0,0,0
9/29/2019,0,0,0,0
9/30/2019,0,0,0,0
10/1/2019,0,0,0,0
10/2/2019,4,3,0,65
10/3/2019,8,1,0,17
10/4/2019,0,0,0,0
10/5/2019,4.75,1,0,6
10/6/2019,8,16,3,151
10/7/2019,8.5,15,3,126
10/8/2019,7.5,94,18,85
10/9/2019,0,0,0,0
10/10/2019,7,0,0,7
10/11/2019,8.5,6,0,45
10/12/2019,8,5,0,40
10/13/2019,8.5,22,5,57
10/14/2019,8,0,2,29
10/15/2019,8,9,4,17
10/16/2019,8.5,16,0,90
10/17/2019,8,11,0,116
10/18/2019,7.25,5,1,21
10/19/2019,4.5,10,0,10
10/20/2019,0,0,0,0
10/21/2019,0,0,0,0
10/22/2019,6.75,0,0,16
10/23/2019,2,0,0,0
10/24/2019,7.5,0,0,39
10/25/2019,7.5,5,0,21
10/26/2019,0,0,0,0
10/27/2019,4.5,0,0,0
10/28/2019,0,0,0,0
10/29/2019,4.5,0,0,1
10/30/2019,4,0,0,5
10/31/2019,0,0,0,0
8/27/2020,8,0,3,1
8/28/2020,8,1,2,5
8/29/2020,8,2,1,1
8/30/2020,8,0,0,0
8/31/2020,5.67,0,0,0
9/1/2020,7,0,0,3
9/2/2020,8,0,1,2
9/3/2020,8,2,1,1
9/4/2020,5.83,6,3,0
9/5/2020,0,0,0,0
9/6/2020,0,0,0,0
9/7/2020,0,0,0,0
9/8/2020,0,0,0,0
9/9/2020,0,0,0,0
9/10/2020,0,0,0,0
